Bug ID,Priority,Status,Component,Bug Title,Description,Root Cause,Impact,Story Points,Assignee,Created Date,Last Updated,Code Location,Verification Status
BUG-022,MEDIUM,Open,Photo Retrieval,Photo lookup requests failing,When users ask for photos of specific products AI cannot retrieve them properly,SKU context not being passed correctly from product search to media retrieval,Users frustrated when asking for product images,3,Backend Team,2025-09-30,2025-10-21,get_product_photos function exists at line 1787,FUNCTION_EXISTS_NEEDS_TESTING
BUG-003,CRITICAL,Fixed,Streaming,70% information loss during streaming,Rich HTML content during streaming gets replaced by minimal components,AI Backend streams HTML but Frontend expects plain text for pattern matching,Critical UX degradation - users lose detailed information,5,Frontend Team,2025-09-23,2025-09-23,long-term-memory.md:232-259,VERIFIED
BUG-016,CRITICAL,FIXED,Message Quality,164 empty/null messages in database,Database analysis reveals 164 messages with empty or null content - 0.19% of all messages,Message saving logic allowing empty content to be stored,Poor data quality and potential UI/API errors when displaying messages,3,Backend Team,2025-09-29,2025-10-21,conversation_memory.py:89-95 & 114-123,VERIFIED_FIXED
BUG-017,HIGH,FIXED,Message Volume,65 messages exceed 5000 characters,Abnormally long messages detected - potential error content or malformed responses,Response generation creating excessively long content or error messages being stored,Performance issues and potential UI display problems,2,Backend Team,2025-09-29,2025-10-21,conversation_memory.py:97-100 & 125-128,VERIFIED_FIXED
BUG-004,HIGH,FIXED,Magento Authentication,Magento credentials working but hardcoded,Magento API uses hardcoded credentials instead of environment variables,Credentials were hardcoded - NOW FIXED with env validation,Security risk and not production ready,3,Backend Team,2025-09-24,2025-10-21,main.py:1946-1951,VERIFIED_FIXED
BUG-005,HIGH,FIXED,Function Calling,Function results not persisted in memory,Function execution results NOT included in conversation history,Function results now stored in DB AND sent to OpenAI for context,AI can't reference previous function results,5,Backend Team,2025-09-24,2025-10-21,main.py:2893-2924,VERIFIED_FIXED
BUG-006,MEDIUM,Open,Carousel Navigation,Swiffy Slider carousel navigation may fail,Carousel navigation relies on external CDN and async loading,magento-carousel.js:120-158 has complex async initialization with error handling,Carousels may not work on slow connections,3,Frontend Team,2025-09-24,2025-10-21,magento-carousel.js:120-158,CODE_LOOKS_GOOD_NEEDS_TESTING
BUG-007,MEDIUM,Open,API Base URLs,Hardcoded localhost URLs in frontend,Frontend files use hardcoded localhost:8001 API base URLs,All files have window.BACKEND_URL support but default to localhost,Won't work in deployed environments without BACKEND_URL set,2,Frontend Team,2025-09-24,2025-10-21,script.js:5 script_old.js:5 script_woodstock.js:4,PARTIAL_FIX
BUG-008,MEDIUM,Open,Code Duplication,Multiple similar frontend files,script.js script_old.js and script_woodstock.js have overlapping functionality,Three similar chat implementations with different features,Development confusion and maintenance issues,3,Frontend Team,2025-09-24,2025-10-21,loft-chat-chingon/frontend/,VERIFIED_DUPLICATION_EXISTS
BUG-009,LOW,Open,Navigation Shortcuts,No keyboard shortcuts implemented,Only Enter key for sending messages - no advanced navigation shortcuts,handleKeyDown() only handles Enter key in all frontend files,Limited keyboard navigation for power users,2,Frontend Team,2025-09-24,2025-10-21,script.js:140-145,VERIFIED
BUG-010,LOW,Open,Debug Tools,Debug carousel page incomplete,Debug carousel HTML exists but functionality may be incomplete,debug-carousel.html exists in frontend/,Development debugging may be difficult,1,Frontend Team,2025-09-24,2025-10-21,loft-chat-chingon/frontend/debug-carousel.html,FILE_EXISTS_NEEDS_REVIEW
BUG-012,HIGH,Open,Multi-Tenant,Single-tenant hardcoded tokens,System uses hardcoded tokens instead of multi-tenant OAuth,No client_integrations table or OAuth 2.0 flow found in codebase,Can't scale to multiple clients - not SaaS ready,8,Backend Team,2025-09-24,2025-10-21,No multi-tenant infrastructure,VERIFIED_NOT_IMPLEMENTED
BUG-013,HIGH,Open,Security,Tokens stored as plain text,No SOC2 encryption infrastructure,.env has plain text tokens - no encryption found,Security compliance failure - PRODUCTION BLOCKER,5,Backend Team,2025-09-24,2025-10-21,.env file plain text storage,VERIFIED_SECURITY_RISK
BUG-014,HIGH,Open,Instagram,No Instagram API integration,Missing Instagram Business Account connection,No Instagram webhook or API implementation in backend,Can't serve Instagram customers,8,Backend Team,2025-09-24,2025-10-21,No Instagram code found,VERIFIED_NOT_IMPLEMENTED
BUG-015,MEDIUM,Open,Audit Trail,No compliance logging,Missing audit trail system for SOC2,No dedicated audit logging - only print statements,Compliance failure for enterprise clients,3,Backend Team,2025-09-24,2025-10-21,No audit trail system,VERIFIED_NOT_IMPLEMENTED
FEATURE-001,HIGH,RESOLVED,AI Enhancement,Pragmatic Inference System,Added semantic intent analysis with emotional/temporal/consequence markers - moves beyond keyword matching to true semantic understanding,Implemented conversation psychology principles from UX framework,Enhanced user experience with intelligent intent detection,8,AI Team,2025-09-30,2025-10-21,main.py:218-251,VERIFIED
FEATURE-002,HIGH,RESOLVED,AI Enhancement,Conversation Repair Mechanisms,Added discourse repair patterns for misunderstandings and repeated questions,Linguistic repair strategies for when communication breaks down,Bulletproof conversation handling - no more dead ends,5,AI Team,2025-09-30,2025-10-21,main.py:208-217,VERIFIED
FEATURE-003,HIGH,RESOLVED,Product Discovery,Enhanced Magento Integration,Added 6 new Magento functions: brands colors price_range brand_search featured_products recall_memory,Complete product discovery with psychological UX - anticipatory design and cognitive load reduction,Users can now easily discover products by brand color price with smart suggestions,8,Backend Team,2025-09-30,2025-10-21,main.py:1513-1857,VERIFIED
