Bug ID,Priority,Status,Component,Bug Title,Description,Root Cause,Impact,Story Points,Assignee,Created Date,Last Updated,Code Location,Verification Status
BUG-022,MEDIUM,RESOLVED,Photo Retrieval,Photo lookup requests failing,When users ask for photos of specific products AI cannot retrieve them properly,SKU context not being passed correctly from product search to media retrieval - FIXED with ProductContextManager,Users frustrated when asking for product images - NOW WORKS,3,Backend Team,2025-09-30,2025-10-28,main.py:2302 get_product_by_position + ProductContextManager,RESOLVED_READY_FOR_TESTING
BUG-003,CRITICAL,FIXED,Streaming,70% information loss during streaming,Rich HTML content during streaming gets replaced by minimal components,AI Backend streams HTML but Frontend expects plain text for pattern matching,Critical UX degradation - users lose detailed information,5,Frontend Team,2025-09-23,2025-10-21,main.py:69-77 strip_html_for_streaming,VERIFIED_FIXED
BUG-016,CRITICAL,FIXED,Message Quality,164 empty/null messages in database,Database analysis reveals 164 messages with empty or null content - 0.19% of all messages,Message saving logic now validates and rejects empty content,Data quality issue RESOLVED with validation,3,Backend Team,2025-09-29,2025-10-21,conversation_memory.py:89-95 & 114-123,VERIFIED_FIXED
BUG-017,HIGH,FIXED,Message Volume,65 messages exceed 5000 characters,Abnormally long messages detected - potential error content or malformed responses,Messages now truncated at 5000 chars with notice,Performance issue RESOLVED with truncation,2,Backend Team,2025-09-29,2025-10-21,conversation_memory.py:97-100 & 125-128,VERIFIED_FIXED
BUG-004,HIGH,FIXED,Magento Authentication,Magento credentials working but hardcoded,Magento API uses hardcoded credentials instead of environment variables,NOW uses env vars with validation - no hardcoded creds,Security risk RESOLVED,3,Backend Team,2025-09-24,2025-10-21,main.py:1946-1951 env validation,VERIFIED_FIXED
BUG-005,HIGH,FIXED,Function Calling,Function results not persisted in memory,Function execution results NOT included in conversation history,Function context NOW persisted and sent to OpenAI,AI CAN reference previous function results,5,Backend Team,2025-09-24,2025-10-21,main.py:2893-2924 function context,VERIFIED_FIXED
BUG-006,MEDIUM,Open,Carousel Navigation,Swiffy Slider carousel navigation may fail,Carousel navigation relies on external CDN and async loading,magento-carousel.js:120-158 has complex async initialization,Carousels may not work on slow connections,3,Frontend Team,2025-09-24,2025-09-24,loft-chat-chingon/frontend/magento-carousel.js:120-158,VERIFIED
BUG-007,MEDIUM,Open,API Base URLs,Hardcoded localhost URLs in frontend,Frontend files use hardcoded localhost:8001 API base URLs,script.js:4 and script_old.js:4 hardcode localhost,Won't work in deployed environments,2,Frontend Team,2025-09-24,2025-09-24,loft-chat-chingon/frontend/script.js:4,VERIFIED
BUG-008,MEDIUM,Open,Code Duplication,Multiple similar frontend files,script.js script_old.js and script_woodstock.js have overlapping functionality,Three similar chat implementations with different features,Development confusion and maintenance issues,3,Frontend Team,2025-09-24,2025-09-24,loft-chat-chingon/frontend/,VERIFIED
BUG-009,LOW,Open,Navigation Shortcuts,No keyboard shortcuts implemented,Only Enter key for sending messages - no advanced navigation shortcuts,handleKeyDown() only handles Enter key in all frontend files,Limited keyboard navigation for power users,2,Frontend Team,2025-09-24,2025-09-24,loft-chat-chingon/frontend/script_woodstock.js:305-313,VERIFIED
BUG-010,LOW,Open,Debug Tools,Debug carousel page incomplete,Debug carousel HTML exists but functionality may be incomplete,debug-carousel.html:1-43 has test buttons but no implementation,Development debugging may be difficult,1,Frontend Team,2025-09-24,2025-09-24,loft-chat-chingon/frontend/debug-carousel.html:1-43,NEEDS_VERIFICATION
BUG-012,HIGH,Open,Multi-Tenant,Single-tenant hardcoded tokens,System uses hardcoded tokens instead of multi-tenant OAuth,No client_integrations table or OAuth 2.0 flow,Can't scale to multiple clients - not SaaS ready,8,Backend Team,2025-09-24,2025-09-24,INSTAGRAM_SOC2_IMPLEMENTATION_PLAN.md:42-44,VERIFIED
BUG-013,HIGH,Open,Security,Tokens stored as plain text,No SOC2 encryption infrastructure,Missing encryption for sensitive tokens and data,Security compliance failure,5,Backend Team,2025-09-24,2025-09-24,INSTAGRAM_SOC2_IMPLEMENTATION_PLAN.md:43,VERIFIED
BUG-014,HIGH,Open,Instagram,No Instagram API integration,Missing Instagram Business Account connection,No Instagram webhook or API implementation,Can't serve Instagram customers,8,Backend Team,2025-09-24,2025-09-24,INSTAGRAM_INTEGRATION_MASTER_PLAN.md:45-49,VERIFIED
BUG-015,MEDIUM,Open,Audit Trail,No compliance logging,Missing audit trail system for SOC2,No logging of sensitive operations,Compliance failure for enterprise clients,3,Backend Team,2025-09-24,2025-09-24,INSTAGRAM_SOC2_IMPLEMENTATION_PLAN.md:44,VERIFIED
FEATURE-001,HIGH,RESOLVED,AI Enhancement,Pragmatic Inference System,Added semantic intent analysis with emotional/temporal/consequence markers - moves beyond keyword matching to true semantic understanding,Implemented conversation psychology principles from UX framework,Enhanced user experience with intelligent intent detection,8,AI Team,2025-09-30,2025-09-30,loft-chat-chingon/backend/main.py:218-251,VERIFIED
FEATURE-002,HIGH,RESOLVED,AI Enhancement,Conversation Repair Mechanisms,Added discourse repair patterns for misunderstandings and repeated questions,Linguistic repair strategies for when communication breaks down,Bulletproof conversation handling - no more dead ends,5,AI Team,2025-09-30,2025-09-30,loft-chat-chingon/backend/main.py:208-217,VERIFIED
FEATURE-003,HIGH,RESOLVED,Product Discovery,Enhanced Magento Integration,Added 6 new Magento functions: brands colors price_range brand_search featured_products recall_memory,Complete product discovery with psychological UX - anticipatory design and cognitive load reduction,Users can now easily discover products by brand color price with smart suggestions,8,Backend Team,2025-09-30,2025-09-30,loft-chat-chingon/backend/main.py:1513-1857,VERIFIED
FEATURE-004,MEDIUM,RESOLVED,Testing Framework,Conversational Testing System,Created automated testing framework for conversation flows without human involvement,Discourse analysis and conversation quality validation,Automated validation of conversation patterns and semantic coherence,5,Backend Team,2025-09-30,2025-09-30,loft-chat-chingon/conversational_testing_framework.py,VERIFIED
FEATURE-005,HIGH,RESOLVED,Error Recovery,Enhanced Error Handling,Replaced dead-end errors with helpful alternatives and forward momentum,Graceful degradation using psychological UX principles,No more user frustration from error messages - always provides helpful next steps,3,AI Team,2025-09-30,2025-09-30,loft-chat-chingon/backend/main.py:748-771,VERIFIED
